Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    5960D576 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1007 number of names

    ordinal hint RVA      name

       2031  20B 00034130 InitializePointerDeviceInjectionEx
       2032  20C 00034140 InitializeTouchInjection
       2033  20D 00034150 InjectDeviceInput
       2034  20E 00034160 InjectGenericHidInput
       2035  20F 00034170 InjectKeyboardInput
       2036  210 00034180 InjectMouseInput
       2037  211 00034190 InjectPointerInput
       2038  212 00034190 InjectSyntheticPointerInput
       2039  213 000341A0 InjectTouchInput
       2040  214 00082330 InsertMenuA
       2041  215 000823B0 InsertMenuItemA
       2042  216 0000FF50 InsertMenuItemW
       2043  217 00029770 InsertMenuW
       2044  218 000811D0 InternalGetWindowIcon
       2045  219 000285B0 InternalGetWindowText
       2046  21A 00021580 IntersectRect
       2047  21B 000341C0 InvalidateRect
       2048  21C 000341D0 InvalidateRgn
       2049  21D 000272D0 InvertRect
       2050  21E 0007BE00 IsCharAlphaA
       2051  21F 0007BE10 IsCharAlphaNumericA
       2052  220 00032360 IsCharAlphaNumericW
       2053  221 0007BE20 IsCharAlphaW
       2054  222 0007BE30 IsCharLowerA
       2055  223 0007BE40 IsCharLowerW
       2056  224 0007BE50 IsCharUpperA
       2057  225 0007BE60 IsCharUpperW
       2058  226 0000AA90 IsChild
       2059  227 0002AE50 IsClipboardFormatAvailable
       2060  228 000571F0 IsDialogMessage
       2061  229 000571F0 IsDialogMessageA
       2062  22A 00007060 IsDialogMessageW
       2063  22B 00031DE0 IsDlgButtonChecked
       2064  22C 00028520 IsGUIThread
       2065  22D 00029E60 IsHungAppWindow
       2066  22E 000217A0 IsIconic
       2067  22F 00029930 IsImmersiveProcess
       2068  230 0002B160 IsInDesktopWindowBand
       2069  231 0002BE60 IsMenu
       2070  232 000341F0 IsMouseInPointerEnabled
       2071  233 00034220 IsOneCoreTransformMode
       2072  234 00021600 IsProcessDPIAware
       2073  235 0007E390 IsQueueAttached
       2074  236 00021A30 IsRectEmpty
       2075  237 000743A0 IsSETEnabled
       2076  238 00027B30 IsServerSideWindow
       2077  239 000142D0 IsThreadDesktopComposited
       2528  23A 00027140 IsThreadMessageQueueAttached
       2078  23B 00001760 IsThreadTSFEventAware
       2079  23C 00034240 IsTopLevelWindow
       2080  23D 00034250 IsTouchWindow
       2081  23E 0007E3B0 IsValidDpiAwarenessContext
       2082  23F 000235D0 IsWinEventHookInstalled
       2083  240 00007A70 IsWindow
       2084  241 00022D30 IsWindowArranged
