Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\IPHLPAPI.DLL

File Type: DLL

  Section contains the following exports for IPHLPAPI.DLL

    00000000 characteristics
    55458551 time date stamp
        0.00 version
           1 ordinal base
         293 number of functions
         293 number of names

    ordinal hint RVA      name

        275  112 00028060 SetIpNetEntry2
        276  113 0001EA80 SetIpStatistics
        277  114 0001EA90 SetIpStatisticsEx
        278  115 0001EB70 SetIpTTL
        279  116 000255D0 SetJobCompartmentId
        280  117 00025640 SetNetworkInformation
        281  118 00022DE0 SetPerTcp6ConnectionEStats
        282  119 00022EE0 SetPerTcp6ConnectionStats
        283  11A 00022F90 SetPerTcpConnectionEStats
        284  11B 00023070 SetPerTcpConnectionStats
        285  11C 00025730 SetSessionCompartmentId
        286  11D 00023100 SetTcpEntry
        287  11E 000270E0 SetUnicastIpAddressEntry
        288  11F 0001ECA0 UnenableRouter
        289  120 0001FD50 do_echo_rep
        290  121 0001FF40 do_echo_req
        291  122 00025EE0 if_indextoname
        292  123 00025F30 if_nametoindex
        293  124 000200B0 register_icmp

  Summary

        1000 .data
        1000 .didat
        2000 .pdata
        D000 .rdata
        1000 .reloc
        1000 .rsrc
       29000 .text
