Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase_enclave.dll

File Type: DLL

  Section contains the following exports for ucrtbase_enclave.dll

    00000000 characteristics
    8B7FEE4D time date stamp
        0.00 version
           1 ordinal base
         785 number of functions
         785 number of names

    ordinal hint RVA      name

        515  202 000285F0 erf
        516  203 000287E0 erfc
        517  204 00028A90 erfcf
        518  205 00028D30 erfcl
        519  206 00028FB0 erff
        520  207 00029150 erfl
        521  208 000137B0 exit
        522  209 000374A0 exp
        523  20A 000295B0 exp2
        524  20B 00029900 exp2f
        525  20C 00029C70 exp2l
        526  20D 000378A0 expf
        527  20E 00029D70 expm1
        528  20F 00029EA0 expm1f
        529  210 00029D70 expm1l
        530  211 00029F90 fabs
        531  212 00029FA0 fdim
        532  213 0002A010 fdimf
        533  214 00029FA0 fdiml
        534  215 0002A080 feclearexcept
        535  216 0002A1B0 fegetexceptflag
        536  217 0002A230 fegetround
        537  218 0002A2A0 feholdexcept
        538  219 0002A350 fesetexceptflag
        539  21A 0002A400 fesetround
        540  21B 0002A460 fetestexcept
        541  21C 000402D0 floor
        542  21D 00040390 floorf
        543  21E 0002A490 fma
        544  21F 0002AF30 fmaf
        545  220 0002A490 fmal
        546  221 0002B8A0 fmax
        547  222 0002B920 fmaxf
        548  223 0002B8A0 fmaxl
        549  224 0002B9A0 fmin
        550  225 0002BA20 fminf
        551  226 0002B9A0 fminl
        552  227 00037B50 fmod
        553  228 00044DA0 fmodf
        554  229 00010370 free
        555  22A 0002C460 frexp
        556  22B 00040690 hypot
        557  22C 0002C5A0 ilogb
        558  22D 0002C5F0 ilogbf
        559  22E 0002C5A0 ilogbl
        560  22F 00021A60 imaxabs
        561  230 00021DB0 imaxdiv
        562  231 0000EB60 isalnum
        563  232 0000E4D0 isalpha
        564  233 0000EA80 isblank
        565  234 0000EDD0 iscntrl
        566  235 0000E740 isdigit
        567  236 0000ED00 isgraph
        568  237 0000F050 isleadbyte
