Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\gdi32full.dll

File Type: DLL

  Section contains the following exports for gdi32full.dll

    00000000 characteristics
    6E3B72C0 time date stamp
        0.00 version
        1000 ordinal base
        1221 number of functions
        1211 number of names

    ordinal hint RVA      name

       1491  1E1 0003F170 NtGdiDDCCIGetVCPFeature
       1492  1E2 0003F180 NtGdiDDCCISaveCurrentSettings
       1493  1E3 0003F190 NtGdiDDCCISetVCPFeature
       1494  1E4 00030600 NtGdiDdAddAttachedSurface
       1495  1E5 00030600 NtGdiDdAlphaBlt
       1496  1E6 00030600 NtGdiDdAttachSurface
       1497  1E7 00030600 NtGdiDdBeginMoCompFrame
       1498  1E8 00030600 NtGdiDdBlt
       1499  1E9 00030600 NtGdiDdCanCreateD3DBuffer
       1500  1EA 00030600 NtGdiDdCanCreateSurface
       1501  1EB 00030600 NtGdiDdColorControl
       1502  1EC 00030600 NtGdiDdCreateD3DBuffer
       1503  1ED 00030600 NtGdiDdCreateDirectDrawObject
       1504  1EE 0003F1A0 NtGdiDdCreateFullscreenSprite
       1505  1EF 00030600 NtGdiDdCreateMoComp
       1506  1F0 00030600 NtGdiDdCreateSurface
       1507  1F1 00030600 NtGdiDdCreateSurfaceEx
       1508  1F2 00030600 NtGdiDdCreateSurfaceObject
       1509  1F3 0003F1B0 NtGdiDdDDIAbandonSwapChain
       1510  1F4 0003F1C0 NtGdiDdDDIAcquireKeyedMutex
       1511  1F5 0003F1D0 NtGdiDdDDIAcquireKeyedMutex2
       1512  1F6 0003F1E0 NtGdiDdDDIAcquireSwapChain
       1513  1F7 0003F1F0 NtGdiDdDDIAddSurfaceToSwapChain
       1514  1F8 0003F200 NtGdiDdDDIAdjustFullscreenGamma
       1515  1F9 0003F210 NtGdiDdDDICacheHybridQueryValue
       1516  1FA 0003F220 NtGdiDdDDIChangeVideoMemoryReservation
       1517  1FB 0003F230 NtGdiDdDDICheckExclusiveOwnership
       1518  1FC 0003F240 NtGdiDdDDICheckMonitorPowerState
       1519  1FD 0003F250 NtGdiDdDDICheckMultiPlaneOverlaySupport
       1520  1FE 0003F260 NtGdiDdDDICheckMultiPlaneOverlaySupport2
       1521  1FF 0003F270 NtGdiDdDDICheckMultiPlaneOverlaySupport3
       1522  200 0003F280 NtGdiDdDDICheckOcclusion
       1523  201 0003F290 NtGdiDdDDICheckSharedResourceAccess
       1524  202 0003F2A0 NtGdiDdDDICheckVidPnExclusiveOwnership
       1525  203 0003F2B0 NtGdiDdDDICloseAdapter
       1526  204 0003F2C0 NtGdiDdDDIConfigureSharedResource
       1527  205 0003F2D0 NtGdiDdDDICreateAllocation
       1528  206 0003F2E0 NtGdiDdDDICreateBundleObject
       1529  207 0003F2F0 NtGdiDdDDICreateContext
       1530  208 0003F300 NtGdiDdDDICreateContextVirtual
       1531  209 0003F310 NtGdiDdDDICreateDCFromMemory
       1532  20A 0003F320 NtGdiDdDDICreateDevice
       1533  20B 0003F330 NtGdiDdDDICreateHwContext
       1534  20C 0003F340 NtGdiDdDDICreateHwQueue
       1535  20D 0003F350 NtGdiDdDDICreateKeyedMutex
       1536  20E 0003F360 NtGdiDdDDICreateKeyedMutex2
       1537  20F 0003F370 NtGdiDdDDICreateOutputDupl
       1538  210 0003F380 NtGdiDdDDICreateOverlay
       1539  211 0003F390 NtGdiDdDDICreatePagingQueue
       1540  212 0003F3A0 NtGdiDdDDICreateProtectedSession
