Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    6A056922 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         482 number of names

    ordinal hint RVA      name

        489  13B 001E9980 SHEnumerateUnreadMailAccountsW
        490  13C 000A1CE0 SHEvaluateSystemCommandTemplate
        491  13D 0018A2F0 SHExtractIconsW
        492  13E 00197D40 SHFileOperation
        493  13F 00197D40 SHFileOperationA
        494  140 00197D60 SHFileOperationW
         90  141 001E9CE0 SHFindFiles
        149  142 0026F640 SHFind_InitMenuPopup
        526  143 0026F9B0 SHFlushSFCache
        495  144 001F1CF0 SHFormatDrive
        195  145 000A6E80 SHFree
        496  146 00197D80 SHFreeNameMappings
        750  147 001E9DB0 SHGetAttributesFromDataObject
        497  148 001FAC50 SHGetDataFromIDListA
        498  149 000B6D90 SHGetDataFromIDListW
        499  14A 000C4700 SHGetDesktopFolder
        500  14B 001FAD60 SHGetDiskFreeSpaceA
        501  14C 001FAD60 SHGetDiskFreeSpaceExA
        502  14D 001FADE0 SHGetDiskFreeSpaceExW
        503  14E 00277310 SHGetDriveMedia
        504  14F 00020F20 SHGetFileInfo
        505  150 00020F20 SHGetFileInfoA
        506  151 000698D0 SHGetFileInfoW
        507  152 00024F90 SHGetFolderLocation
        508  153 00224030 SHGetFolderPathA
        509  154 00224050 SHGetFolderPathAndSubDirA
        510  155 00224070 SHGetFolderPathAndSubDirW
        511  156 00023890 SHGetFolderPathEx
        512  157 000A8EE0 SHGetFolderPathW
        513  158 000399F0 SHGetIDListFromObject
        514  159 00277760 SHGetIconOverlayIndexA
        515  15A 002777E0 SHGetIconOverlayIndexW
        727  15B 000587B0 SHGetImageList
        516  15C 000C3B80 SHGetInstanceExplorer
        517  15D 000A9AB0 SHGetItemFromDataObject
        518  15E 0007F050 SHGetItemFromObject
        519  15F 000C2E50 SHGetKnownFolderIDList
        527  160 000C4200 SHGetKnownFolderItem
        528  161 000C0CD0 SHGetKnownFolderPath
        529  162 001FAE00 SHGetLocalizedName
        530  163 00104450 SHGetMalloc
        531  164 00051E60 SHGetNameFromIDList
        532  165 001FAFB0 SHGetNewLinkInfo
        179  166 001FAFB0 SHGetNewLinkInfoA
        180  167 001FB0D0 SHGetNewLinkInfoW
        533  168 001E9F30 SHGetPathFromIDList
        534  169 001E9F30 SHGetPathFromIDListA
        535  16A 000ADB20 SHGetPathFromIDListEx
        536  16B 000343C0 SHGetPathFromIDListW
        537  16C 000895D0 SHGetPropertyStoreForWindow
        538  16D 001FB100 SHGetPropertyStoreFromIDList
        539  16E 001FB190 SHGetPropertyStoreFromParsingName
         98  16F 001EA050 SHGetRealIDL
        709  170 0018A6A0 SHGetSetFolderCustomSettings
         68  171 00073220 SHGetSetSettings
        540  172 00278000 SHGetSettings
        541  173 000C2BE0 SHGetSpecialFolderLocation
        542  174 00224090 SHGetSpecialFolderPathA
        543  175 000C34C0 SHGetSpecialFolderPathW
        544  176 000E2F60 SHGetStockIconInfo
        545  177 000872A0 SHGetTemporaryPropertyForItem
        546  178 001EA100 SHGetUnreadMailCountW
        193  179 00247820 SHHandleUpdateImage
        228  17A 001D7EF0 SHHelpShortcuts_RunDLL
        229  17B 001D7EF0 SHHelpShortcuts_RunDLLA
        238  17C 001D7FA0 SHHelpShortcuts_RunDLLW
         28  17D 0023D030 SHILCreateFromPath
        547  17E 001AE600 SHInvokePrinterCommandA
        548  17F 001AE6E0 SHInvokePrinterCommandW
        549  180 001EA550 SHIsFileAvailableOffline
        747  181 00279080 SHLimitInputEdit
