Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\uxlib.dll

File Type: DLL

  Section contains the following exports for UXLIB.DLL

    00000000 characteristics
    2B8FF314 time date stamp
        0.00 version
           1 ordinal base
         414 number of functions
         414 number of names

    ordinal hint RVA      name

        171   AA 00003880 ?CharToOemA@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAXXZ
        172   AB 00002EB0 ?CheckImplicitLoad@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@AEAA_NPEBX@Z
        173   AC 0000B9A0 ?ClearDriverList@CLoadDriver@@UEAAXXZ
        174   AD 0000DCB0 ?ClearString@MyUtilString@@QEAAXXZ
        175   AE 0000E200 ?ClearString@PIDUtilStringView@@QEAAXXZ
        176   AF 00005810 ?CloneData@?$CSimpleStringT@G$0A@@ATL@@CAPEAUCStringData@2@PEAU32@@Z
        177   B0 0000D8E0 ?CloseOSK@COSK@@QEAAHPEAX@Z
        178   B1 00004AE0 ?Collate@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBAHPEBG@Z
        179   B2 00004AD0 ?CollateNoCase@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBAHPEBG@Z
        180   B3 00004B00 ?Compare@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBAHPEBG@Z
        181   B4 00004AF0 ?CompareNoCase@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBAHPEBG@Z
        182   B5 00005B00 ?Concatenate@?$CSimpleStringT@G$0A@@ATL@@KAXAEAV12@PEBGH1H@Z
        183   B6 00005750 ?Construct@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@SAXPEAV12@@Z
        184   B7 00005C70 ?CopyChars@?$CSimpleStringT@G$0A@@ATL@@SAXPEAGPEBGH@Z
        185   B8 00005C50 ?CopyChars@?$CSimpleStringT@G$0A@@ATL@@SAXPEAG_KPEBGH@Z
        186   B9 00005C30 ?CopyCharsOverlapped@?$CSimpleStringT@G$0A@@ATL@@SAXPEAGPEBGH@Z
        187   BA 00005C10 ?CopyCharsOverlapped@?$CSimpleStringT@G$0A@@ATL@@SAXPEAG_KPEBGH@Z
        188   BB 000049B0 ?Delete@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAHHH@Z
        189   BC 00006240 ?Empty@?$CSimpleStringT@G$0A@@ATL@@QEAAXXZ
