Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\icuuc.dll

File Type: DLL

  Section contains the following exports for icuuc.dll

    00000000 characteristics
    A6331E83 time date stamp
        0.00 version
           1 ordinal base
        2815 number of functions
        2815 number of names

    ordinal hint RVA      name

        239   EE 00092380 ??0UnicodeString@icu@@QEAA@PEB_S@Z
        240   EF 000923C0 ??0UnicodeString@icu@@QEAA@PEB_SH@Z
        241   F0 00017A70 ??0UnicodeString@icu@@QEAA@PEB_W@Z
        242   F1 00017AA0 ??0UnicodeString@icu@@QEAA@PEB_WH@Z
        243   F2 00006E00 ??0UnicodeString@icu@@QEAA@XZ
        244   F3 00092400 ??0UnicodeString@icu@@QEAA@_S@Z
        245   F4 00017470 ??0UnicodeStringAppendable@icu@@QEAA@AEAVUnicodeString@1@@Z
        246   F5 00017490 ??0UnicodeStringAppendable@icu@@QEAA@AEBV01@@Z
        247   F6 0000B9D0 ??0UnifiedCache@icu@@QEAA@AEAW4UErrorCode@@@Z
        248   F7 0004AD60 ??0UnifiedCacheBase@icu@@QEAA@XZ
        249   F8 0001ADB0 ??1?$MaybeStackArray@D$0CI@@icu@@QEAA@XZ
        250   F9 00007F50 ??1Appendable@icu@@UEAA@XZ
        251   FA 00007F50 ??1BreakIterator@icu@@UEAA@XZ
        252   FB 0001EB10 ??1ByteSink@icu@@UEAA@XZ
        253   FC 00026060 ??1BytesDictionaryMatcher@icu@@UEAA@XZ
        254   FD 0001ECE0 ??1BytesTrie@icu@@QEAA@XZ
        255   FE 0001F690 ??1BytesTrieBuilder@icu@@UEAA@XZ
        256   FF 0001ADB0 ??1CStr@icu@@QEAA@XZ
        257  100 00007F50 ??1CacheKeyBase@icu@@UEAA@XZ
        258  101 00020DA0 ??1CanonicalIterator@icu@@UEAA@XZ
        259  102 0000E400 ??1Char16Ptr@icu@@QEAA@XZ
        260  103 0000C830 ??1CharString@icu@@QEAA@XZ
        261  104 00007F50 ??1CharacterIterator@icu@@UEAA@XZ
        262  105 0001EB10 ??1CheckedArrayByteSink@icu@@UEAA@XZ
        263  106 0000E400 ??1ConstChar16Ptr@icu@@QEAA@XZ
        264  107 00007F50 ??1DateInterval@icu@@UEAA@XZ
        265  108 000260A0 ??1DictionaryMatcher@icu@@UEAA@XZ
        266  109 00026780 ??1Edits@icu@@QEAA@XZ
        267  10A 00027830 ??1ErrorCode@icu@@UEAA@XZ
        268  10B 00007F50 ??1EventListener@icu@@UEAA@XZ
        269  10C 00007F50 ??1FilteredBreakIteratorBuilder@icu@@UEAA@XZ
        270  10D 00007F50 ??1FilteredNormalizer2@icu@@UEAA@XZ
        271  10E 00007F50 ??1ForwardCharacterIterator@icu@@UEAA@XZ
        272  10F 0001CB20 ??1Hashtable@icu@@QEAA@XZ
        273  110 00049F90 ??1ICULocaleService@icu@@UEAA@XZ
        274  111 0004A6E0 ??1ICUNotifier@icu@@UEAA@XZ
        275  112 0004AA10 ??1ICUResourceBundleFactory@icu@@UEAA@XZ
        276  113 00047C10 ??1ICUService@icu@@UEAA@XZ
        277  114 00007F50 ??1ICUServiceFactory@icu@@UEAA@XZ
        278  115 00047C80 ??1ICUServiceKey@icu@@UEAA@XZ
        279  116 00007F50 ??1IDNA@icu@@UEAA@XZ
        280  117 000207C0 ??1Iterator@BytesTrie@icu@@QEAA@XZ
        281  118 0005C300 ??1Iterator@UCharsTrie@icu@@QEAA@XZ
        282  119 0002A0E0 ??1ListFormatter@icu@@UEAA@XZ
        283  11A 00006E20 ??1Locale@icu@@UEAA@XZ
        284  11B 00007F50 ??1LocaleDisplayNames@icu@@UEAA@XZ
        285  11C 00049560 ??1LocaleKey@icu@@UEAA@XZ
        286  11D 00049A10 ??1LocaleKeyFactory@icu@@UEAA@XZ
        287  11E 000322F0 ??1MessagePattern@icu@@UEAA@XZ
        288  11F 0000C7F0 ??1Mutex@icu@@QEAA@XZ
        289  120 00007F50 ??1Normalizer2@icu@@UEAA@XZ
        290  121 00036200 ??1Normalizer2Impl@icu@@UEAA@XZ
        291  122 0003AE00 ??1Normalizer@icu@@UEAA@XZ
