Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\spacebridge.dll

File Type: DLL

  Section contains the following exports for spacebridge.dll

    00000000 characteristics
    D7EB1722 time date stamp
        0.00 version
           1 ordinal base
        1142 number of functions
        1142 number of names

    ordinal hint RVA      name

        259  102 00004830 SC_DRIVE_Set_IsSplit
        260  103 00004850 SC_DRIVE_Set_LargestFreeRun
        261  104 000047A0 SC_DRIVE_Set_PartitionLength
        262  105 00004780 SC_DRIVE_Set_PartitionOffset
        263  106 00004710 SC_DRIVE_Set_TempDescription
        264  107 000046B0 SC_DRIVE_Set_TempId
        265  108 00004760 SC_DRIVE_Set_TempMediaType
        266  109 000046E0 SC_DRIVE_Set_TempName
        267  10A 00004740 SC_DRIVE_Set_TempUsage
        268  10B 000048E0 SC_DRIVE_UpdateIdentity
        269  10C 000048A0 SC_DRIVE_WriteHeader
        270  10D 000025F0 SC_ENV_Allocate
        271  10E 00002610 SC_ENV_Free
        272  10F 000011A0 SC_ENV_Get_CxxSize
        273  110 00004980 SC_SPARSE_Construct
        274  111 00004CE0 SC_SPARSE_Copy
        275  112 00004A10 SC_SPARSE_Destruct
        276  113 00004B30 SC_SPARSE_FindFirstObject
        277  114 00004B40 SC_SPARSE_FindLastObject
        278  115 00004BF0 SC_SPARSE_FindNextObject
        279  116 00004C00 SC_SPARSE_FindPreviousObject
        280  117 00004AE0 SC_SPARSE_GetObject
        281  118 00004970 SC_SPARSE_Get_CxxSize
        282  119 00003DD0 SC_SPARSE_Get_MaximumObjects
        283  11A 00004A70 SC_SPARSE_Get_MaximumObjectsShift
        284  11B 00002C00 SC_SPARSE_Get_NumberOfLevels
        285  11C 00002BE0 SC_SPARSE_Get_NumberOfObjects
        286  11D 00003180 SC_SPARSE_Get_ObjectsPerLevel
        287  11E 00004A40 SC_SPARSE_Get_ObjectsPerLevelShift
        288  11F 00002870 SC_SPARSE_Get_TopLevel
        289  120 00004A90 SC_SPARSE_Initialize
        290  121 00004AD0 SC_SPARSE_Reset
        291  122 00004AF0 SC_SPARSE_SetObject
        292  123 00004A60 SC_SPARSE_Set_MaximumObjects
        293  124 00004A80 SC_SPARSE_Set_MaximumObjectsShift
        294  125 00002C10 SC_SPARSE_Set_NumberOfLevels
        295  126 00002BF0 SC_SPARSE_Set_NumberOfObjects
        296  127 00003190 SC_SPARSE_Set_ObjectsPerLevel
        297  128 00004A50 SC_SPARSE_Set_ObjectsPerLevelShift
        298  129 00002880 SC_SPARSE_Set_TopLevel
        299  12A 00007140 SDB_COLUMN_Associate
        300  12B 000070D0 SDB_COLUMN_Clone
        301  12C 00004FB0 SDB_COLUMN_CollectTelemetry
        302  12D 00007120 SDB_COLUMN_Format
        303  12E 00007130 SDB_COLUMN_GetSize
        304  12F 00003DD0 SDB_COLUMN_Get_ChangeNumber
        305  130 00004A40 SDB_COLUMN_Get_ColumnNumber
        306  131 00007070 SDB_COLUMN_Get_CopyId
        307  132 00004970 SDB_COLUMN_Get_CxxSize
        308  133 000070B0 SDB_COLUMN_Get_Reason
        309  134 00002980 SDB_COLUMN_Get_SpaceOffset
        310  135 00007090 SDB_COLUMN_Get_State
