Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase.dll

File Type: DLL

  Section contains the following exports for ucrtbase.dll

    00000000 characteristics
    490B0AEB time date stamp
        0.00 version
           1 ordinal base
        2483 number of functions
        2483 number of names

    ordinal hint RVA      name

        569  238 000AD7F0 _mbsinc
        570  239 000AD850 _mbsinc_l
        571  23A 000AD890 _mbslen
        572  23B 000AD8A0 _mbslen_l
        573  23C 000AD9D0 _mbslwr
        574  23D 000ADA10 _mbslwr_l
        575  23E 000ADA50 _mbslwr_s
        576  23F 000ADA60 _mbslwr_s_l
        577  240 000ADBC0 _mbsnbcat
        578  241 000ADBD0 _mbsnbcat_l
        579  242 000ADD30 _mbsnbcat_s
        580  243 000ADD50 _mbsnbcat_s_l
        581  244 000ADFE0 _mbsnbcmp
        582  245 000ADFF0 _mbsnbcmp_l
        583  246 000AE120 _mbsnbcnt
        584  247 000AE130 _mbsnbcnt_l
        585  248 000AE1D0 _mbsnbcoll
        586  249 000AE1E0 _mbsnbcoll_l
        587  24A 000AE300 _mbsnbcpy
        588  24B 000AE310 _mbsnbcpy_l
        589  24C 000AE410 _mbsnbcpy_s
        590  24D 000AE430 _mbsnbcpy_s_l
        591  24E 000AE620 _mbsnbicmp
        592  24F 000AE630 _mbsnbicmp_l
        593  250 000AE7E0 _mbsnbicoll
        594  251 000AE7F0 _mbsnbicoll_l
        595  252 000AE900 _mbsnbset
        596  253 000AE910 _mbsnbset_l
        597  254 000AEA10 _mbsnbset_s
        598  255 000AEA30 _mbsnbset_s_l
        599  256 000AEC80 _mbsncat
        600  257 000AEC90 _mbsncat_l
        601  258 000AEDD0 _mbsncat_s
        602  259 000AEDF0 _mbsncat_s_l
        603  25A 000AF040 _mbsnccnt
        604  25B 000AF050 _mbsnccnt_l
        605  25C 000AF0F0 _mbsncmp
        606  25D 000AF100 _mbsncmp_l
        607  25E 000AF210 _mbsncoll
        608  25F 000AF220 _mbsncoll_l
        609  260 000AF360 _mbsncpy
        610  261 000AF370 _mbsncpy_l
        611  262 000AF460 _mbsncpy_s
        612  263 000AF480 _mbsncpy_s_l
        613  264 000AF6A0 _mbsnextc
        614  265 000AF6B0 _mbsnextc_l
        615  266 000AF730 _mbsnicmp
        616  267 000AF740 _mbsnicmp_l
        617  268 000AF8D0 _mbsnicoll
        618  269 000AF8E0 _mbsnicoll_l
        619  26A 000AFA20 _mbsninc
        620  26B 000AFA30 _mbsninc_l
        621  26C 000AD920 _mbsnlen
        622  26D 000AD930 _mbsnlen_l
        623  26E 000AFA60 _mbsnset
        624  26F 000AFA70 _mbsnset_l
        625  270 000AFBD0 _mbsnset_s
        626  271 000AFBF0 _mbsnset_s_l
        627  272 000AFE20 _mbspbrk
        628  273 000AFE30 _mbspbrk_l
        629  274 000AFF20 _mbsrchr
        630  275 000AFF30 _mbsrchr_l
        631  276 000B0000 _mbsrev
        632  277 000B0010 _mbsrev_l
        633  278 000B00F0 _mbsset
        634  279 000B0100 _mbsset_l
        635  27A 000B01E0 _mbsset_s
        636  27B 000B01F0 _mbsset_s_l
        637  27C 000B0340 _mbsspn
        638  27D 000B0350 _mbsspn_l
        639  27E 000B0440 _mbsspnp
        640  27F 000B0450 _mbsspnp_l
        641  280 000B0550 _mbsstr
        642  281 000B0560 _mbsstr_l
        643  282 000B0660 _mbstok
        644  283 000B0670 _mbstok_l
        645  284 000B06C0 _mbstok_s
        646  285 000B06D0 _mbstok_s_l
        647  286 00066470 _mbstowcs_l
        648  287 00009480 _mbstowcs_s_l
        649  288 00022B80 _mbstrlen
        650  289 00067BB0 _mbstrlen_l
        651  28A 00067BD0 _mbstrnlen
        652  28B 00067BE0 _mbstrnlen_l
        653  28C 000B08B0 _mbsupr
        654  28D 000B08F0 _mbsupr_l
        655  28E 000B0930 _mbsupr_s
        656  28F 000B0940 _mbsupr_s_l
        657  290 00013300 _mbtowc_l
        658  291 000B1B50 _memccpy
        659  292 00024300 _memicmp
        660  293 00024360 _memicmp_l
        661  294 0009E3C0 _mkdir
        662  295 000A5870 _mkgmtime32
        663  296 0001A210 _mkgmtime64
        664  297 000A25A0 _mktemp
        665  298 000A2600 _mktemp_s
        666  299 000A5880 _mktime32
        667  29A 0001A820 _mktime64
        668  29B 0001D4E0 _msize
        669  29C 00037780 _nextafter
        670  29D 00037790 _nextafterf
        671  29E 00010AF0 _o__Getdays
        672  29F 00010B10 _o__Getmonths
        673  2A0 00013030 _o__Gettnames
