Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcrt.dll

File Type: DLL

  Section contains the following exports for msvcrt.dll

    00000000 characteristics
    F362C2F9 time date stamp
        0.00 version
           1 ordinal base
        1317 number of functions
        1317 number of names

    ordinal hint RVA      name

        447  1BE 00021950 _ismbcsymbol
        448  1BF 00021960 _ismbcsymbol_l
        449  1C0 00021F60 _ismbcupper
        450  1C1 00021F70 _ismbcupper_l
        451  1C2 00022040 _ismbslead
        452  1C3 00022050 _ismbslead_l
        453  1C4 00022100 _ismbstrail
        454  1C5 00022110 _ismbstrail_l
        455  1C6 00068D90 _isnan
        456  1C7 00068DD0 _isnanf
        457  1C8 000015D0 _isprint_l
        458  1C9 00001640 _isspace_l
        459  1CA 000016B0 _isupper_l
        460  1CB 000032E0 _iswalnum_l
        461  1CC 00003300 _iswalpha_l
        462  1CD 00003320 _iswcntrl_l
        463  1CE 00003560 _iswctype_l
        464  1CF 00003340 _iswdigit_l
        465  1D0 00003360 _iswgraph_l
        466  1D1 00003380 _iswlower_l
        467  1D2 000033A0 _iswprint_l
        468  1D3 000033C0 _iswpunct_l
        469  1D4 000033E0 _iswspace_l
        470  1D5 00003400 _iswupper_l
        471  1D6 00003420 _iswxdigit_l
        472  1D7 00001720 _isxdigit_l
        473  1D8 00002920 _itoa
        474  1D9 00002AB0 _itoa_s
        475  1DA 00002DC0 _itow
        476  1DB 00002F90 _itow_s
        477  1DC 000698F0 _j0
        478  1DD 00069A60 _j1
        479  1DE 00069C00 _jn
        480  1DF 0001BDB0 _kbhit
        481  1E0 0002BD60 _lfind
        482  1E1 0002BE20 _lfind_s
        483  1E2 0002BEE0 _local_unwind
        484  1E3 00062BE0 _localtime32
        485  1E4 00062C30 _localtime32_s
        486  1E5 00062F30 _localtime64
        487  1E6 00062F80 _localtime64_s
        488  1E7 0003B1D0 _lock
        489  1E8 0001CFC0 _locking
        490  1E9 0006A2A0 _logb
        491  1EA 0006A3C0 _logbf
        492  1EB 0002BF10 _lrotl
        493  1EC 0002BF40 _lrotr
        494  1ED 0002BF70 _lsearch
        495  1EE 0002C040 _lsearch_s
        496  1EF 0001D1B0 _lseek
        497  1F0 0001D350 _lseeki64
        498  1F1 00002920 _ltoa
        499  1F2 00002AB0 _ltoa_s
        500  1F3 00002DC0 _ltow
        501  1F4 00002F90 _ltow_s
        502  1F5 0002C110 _makepath
        503  1F6 0002C140 _makepath_s
        504  1F7 00027DB0 _malloc_dbg
        505  1F8 000221C0 _mbbtombc
        506  1F9 000221D0 _mbbtombc_l
        507  1FA 00022360 _mbbtype
        508  1FB 000905D0 _mbcasemap
        509  1FC 00022410 _mbccpy
        510  1FD 00022440 _mbccpy_l
        511  1FE 00022470 _mbccpy_s
        512  1FF 00022560 _mbccpy_s_l
        513  200 00022690 _mbcjistojms
        514  201 000226A0 _mbcjistojms_l
        515  202 00022750 _mbcjmstojis
        516  203 00022760 _mbcjmstojis_l
        517  204 00022830 _mbclen
        518  205 00022870 _mbclen_l
        519  206 000228B0 _mbctohira
        520  207 000228C0 _mbctohira_l
        521  208 00022900 _mbctokata
        522  209 00022910 _mbctokata_l
