Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\archiveint.dll

File Type: DLL

  Section contains the following exports for archiveint.dll

    00000000 characteristics
    2B167212 time date stamp
        0.00 version
           1 ordinal base
         409 number of functions
         409 number of names

    ordinal hint RVA      name

        399  18E 00056AE0 archive_write_set_format_warc
        400  18F 000571B0 archive_write_set_format_xar
        401  190 00057700 archive_write_set_format_zip
        402  191 00059820 archive_write_set_option
        403  192 00059860 archive_write_set_options
        404  193 00059A10 archive_write_set_passphrase
        405  194 00059AB0 archive_write_set_passphrase_callback
        406  195 0003C330 archive_write_set_skip_file
        407  196 00057610 archive_write_zip_set_compression_deflate
        408  197 00057680 archive_write_zip_set_compression_store
        409  198 0003BEC0 archive_zlib_version

  Summary

        3000 .data
        4000 .pdata
       21000 .rdata
        1000 .reloc
        1000 .rsrc
       72000 .text
        1000 RT_CODE
