Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ifsutil.dll

File Type: DLL

  Section contains the following exports for IfsUtil.dll

    00000000 characteristics
    F3C8EAD5 time date stamp
        0.00 version
           1 ordinal base
         321 number of functions
         321 number of names

    ordinal hint RVA      name

        222   DD 00008CB0 ?QueryNtfsTime@IFS_SYSTEM@@SAXPEAT_LARGE_INTEGER@@@Z
        223   DE 00005440 ?QueryNtfsVersion@IFS_SYSTEM@@SAEPEAE0PEAVLOG_IO_DP_DRIVE@@PEAX@Z
        224   DF 00011A50 ?QueryNumChildren@DIGRAPH@@QEBAKK@Z
        225   E0 00011AC0 ?QueryNumParents@DIGRAPH@@QEBAKK@Z
        226   E1 000181F0 ?QueryNumber@NUMBER_SET@@QEBA?AVBIG_INT@@V2@@Z
        227   E2 0001E5F0 ?QueryOpenSessionBounds@DP_DRIVE@@QEAAEPEAK0@Z
        228   E3 00016830 ?QueryPageSize@IFS_SYSTEM@@SAKXZ
        229   E4 00011B80 ?QueryParents@DIGRAPH@@QEBAEKPEAVNUMBER_SET@@@Z
        230   E5 00011C60 ?QueryParentsWithChildren@DIGRAPH@@QEBAEPEAVNUMBER_SET@@K@Z
        231   E6 00008720 ?QueryPartitionInfo@DP_DRIVE@@UEAAEPEAU_PARTITION_INFORMATION_EX@@@Z
        232   E7 0000D680 ?QueryPhysicalSectorSize@DP_DRIVE@@QEAAKXZ
        233   E8 00016880 ?QueryProcessPrivateMemory@IFS_SYSTEM@@SAEPEAXPEA_K@Z
        234   E9 00016940 ?QueryProcessorInformation@IFS_SYSTEM@@SAEPEAVDSTRING@@PEAKPEA_K@Z
        235   EA 0000D690 ?QueryReadAndVerifiedUsage@IO_DP_DRIVE@@QEAAXPEA_K0@Z
        236   EB 00003680 ?QueryReadCacheSize@DP_DRIVE@@UEAAJPEA_K@Z
        237   EC 0000D6E0 ?QueryReadUsage@IO_DP_DRIVE@@QEAAXPEA_K0@Z
        238   ED 00013150 ?QueryRecommendedMediaType@DP_DRIVE@@QEBA?AW4_MEDIA_TYPE@@XZ
        239   EE 000131A0 ?QueryRewritableMOSupport@DP_DRIVE@@QEAAEXZ
        240   EF 00007840 ?QuerySectorSize@DP_DRIVE@@UEBAKXZ
        241   F0 00019D80 ?QuerySectorSize@POW_CACHE@@QEAAKXZ
        242   F1 000082A0 ?QuerySectors@DP_DRIVE@@UEBA?AVBIG_INT@@XZ
        243   F2 000075C0 ?QueryServer@IFS_SYSTEM@@SAEPEAE@Z
        244   F3 0000D730 ?QuerySize@TLINK@@QEBAGXZ
        245   F4 0001B060 ?QuerySnapshotDiffAreaVolume@SNAPSHOT@@QEAAEPEAVWSTRING@@@Z
        246   F5 00002350 ?QueryStorageAdapterProperty@IFS_SYSTEM@@SAEPEAXPEAVDSTRING@@1@Z
