Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wbemcomn.dll

File Type: DLL

  Section contains the following exports for wbemcomn.dll

    00000000 characteristics
    264DE62A time date stamp
        0.00 version
           1 ordinal base
        1397 number of functions
        1397 number of names

    ordinal hint RVA      name

        312  137 000357B0 ??4CTextTemplate@@QEAAAEAV0@AEBV0@@Z
        313  138 00035220 ??4CTimerGenerator@@QEAAAEAV0@AEBV0@@Z
        314  139 000025D0 ??4CTimerInstruction@@QEAAAEAV0@AEBV0@@Z
        315  13A 00044F50 ??4CTraceSessionControl@@QEAAAEAV0@$$QEAV0@@Z
        316  13B 00044F80 ??4CTraceSessionControl@@QEAAAEAV0@AEBV0@@Z
        317  13C 0002B290 ??4CUnk@@QEAAAEAV0@AEBV0@@Z
        318  13D 0002B2B0 ??4CUnkInternal@@QEAAAEAV0@AEBV0@@Z
        319  13E 00009C30 ??4CVar@@QEAAAEAV0@AEBV0@@Z
        320  13F 00036C00 ??4CVarVector@@QEAAAEAV0@AEAV0@@Z
        321  140 00044FB0 ??4CWMITraceSettings@@QEAAAEAV0@$$QEAV0@@Z
        322  141 00044FF0 ??4CWMITraceSettings@@QEAAAEAV0@AEBV0@@Z
        323  142 000415B0 ??4CWQLScanner@@QEAAAEAV0@AEAV0@@Z
        324  143 0000A500 ??4CWStringArray@@QEAAAEAV0@AEAV0@@Z
        325  144 00004850 ??4CWbemCallSecurity@@AEAAAEAV0@AEBV0@@Z
        326  145 00023750 ??4CWbemCriticalSection@@QEAAAEAV0@AEBV0@@Z
        327  146 000025D0 ??4CWbemInstallObject@@QEAAAEAV0@AEBV0@@Z
        328  147 00024580 ??4CWbemInterval@@QEAAAEAV0@$$QEAV0@@Z
        329  148 00024580 ??4CWbemInterval@@QEAAAEAV0@AEBV0@@Z
        330  149 00013430 ??4CWbemTime@@QEAAXAEBV0@@Z
        331  14A 000237B0 ??4CWbemTimeSpan@@QEAAAEAV0@$$QEAV0@@Z
        332  14B 000237B0 ??4CWbemTimeSpan@@QEAAAEAV0@AEBV0@@Z
