Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

    00000000 characteristics
    BCDE805B time date stamp
        0.00 version
           2 ordinal base
         501 number of functions
         425 number of names

    ordinal hint RVA      name

        345  127 00061F30 VarI8FromDec
        340  128 00058480 VarI8FromDisp
        342  129 000584D0 VarI8FromI1
        334  12A 00058460 VarI8FromI2
        335  12B 000584E0 VarI8FromR4
        336  12C 000584F0 VarI8FromR8
        339  12D 00058530 VarI8FromStr
        333  12E 00058680 VarI8FromUI1
        343  12F 00058690 VarI8FromUI2
        344  130 000586A0 VarI8FromUI4
        427  131 000586B0 VarI8FromUI8
        153  132 00053ED0 VarIdiv
        154  133 00054090 VarImp
        172  134 00050B20 VarInt
        155  135 00054180 VarMod
        129  136 000694D0 VarMonthName
        156  137 00052640 VarMul
        173  138 00050D00 VarNeg
        174  139 00054300 VarNot
         47  13A 00006CC0 VarNumFromParseNum
        157  13B 000543A0 VarOr
         46  13C 00006560 VarParseNumFromStr
        158  13D 00052F20 VarPow
        316  13E 00054910 VarR4CmpR8
         76  13F 000586E0 VarR4FromBool
         72  140 00065940 VarR4FromCy
         73  141 00058700 VarR4FromDate
        216  142 00061FC0 VarR4FromDec
         75  143 00058710 VarR4FromDisp
        213  144 00058770 VarR4FromI1
         69  145 000586E0 VarR4FromI2
         70  146 00058790 VarR4FromI4
        360  147 000587B0 VarR4FromI8
         71  148 000587D0 VarR4FromR8
         74  149 00058810 VarR4FromStr
         68  14A 000588A0 VarR4FromUI1
        214  14B 000588C0 VarR4FromUI2
        215  14C 000588E0 VarR4FromUI4
        361  14D 00058900 VarR4FromUI8
         86  14E 00057C10 VarR8FromBool
         82  14F 00065970 VarR8FromCy
         83  150 00058930 VarR8FromDate
        220  151 00003A00 VarR8FromDec
         85  152 00058940 VarR8FromDisp
        217  153 000589A0 VarR8FromI1
         79  154 00057C10 VarR8FromI2
         80  155 000589C0 VarR8FromI4
        362  156 000589E0 VarR8FromI8
         81  157 00058A00 VarR8FromR4
         84  158 000057A0 VarR8FromStr
         78  159 00057DF0 VarR8FromUI1
        218  15A 00058A20 VarR8FromUI2
        219  15B 00058A40 VarR8FromUI4
        363  15C 00058A60 VarR8FromUI8
        315  15D 000530A0 VarR8Pow
        317  15E 00050FB0 VarR8Round
        175  15F 000510A0 VarRound
        159  160 00053160 VarSub
