Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wininet.dll

File Type: DLL

  Section contains the following exports for WININET.dll

    00000000 characteristics
    EF02D3F2 time date stamp
        0.00 version
         101 ordinal base
         326 number of functions
         298 number of names

    ordinal hint RVA      name

        389  10E 0018A7D0 ShowSecurityInfo
        390  10F 0018A940 ShowX509EncodedCertificate
        391  110 001A8820 UnlockUrlCacheEntryFile
        392  111 001A8820 UnlockUrlCacheEntryFileA
        393  112 001A8960 UnlockUrlCacheEntryFileW
        394  113 00059220 UnlockUrlCacheEntryStream
        395  114 001A8AB0 UpdateUrlCacheContentPath
        396  115 001A8C00 UrlCacheCheckEntriesExist
        397  116 001A8C90 UrlCacheCloseEntryHandle
        398  117 001A8D10 UrlCacheContainerSetEntryMaximumAge
        399  118 00097880 UrlCacheCreateContainer
        400  119 00008CE0 UrlCacheFindFirstEntry
        404  11A 000096B0 UrlCacheFindNextEntry
        405  11B 000130C0 UrlCacheFreeEntryInfo
        406  11C 001A8DA0 UrlCacheFreeGlobalSpace
        407  11D 001A8E90 UrlCacheGetContentPaths
        408  11E 00007AE0 UrlCacheGetEntryInfo
        409  11F 001A8F20 UrlCacheGetGlobalCacheSize
        412  120 001A9030 UrlCacheGetGlobalLimit
        414  121 001A90C0 UrlCacheReadEntryStream
        415  122 001A9160 UrlCacheReloadSettings
        416  123 001A91F0 UrlCacheRetrieveEntryFile
        417  124 001A9280 UrlCacheRetrieveEntryStream
        418  125 001A9320 UrlCacheServer
        419  126 001A93F0 UrlCacheSetGlobalLimit
        424  127 000C6C50 UrlCacheUpdateEntryExtraData
        425  128 001857F0 UrlZonesDetach
        426  129 00145730 _GetFileExtensionFromUrl
        101      00141BE0 [NONAME]
        102      001AD6E0 [NONAME]
        103      001AD7D0 [NONAME]
        104      0016BD60 [NONAME]
        105      0016BE20 [NONAME]
        108      00138600 [NONAME]
        109      00138CE0 [NONAME]
        110      00138690 [NONAME]
        111      00138D80 [NONAME]
        112      000CBEE0 [NONAME]
        116      000B8F50 [NONAME]
        117      0016F2E0 [NONAME]
        118      0016BD40 [NONAME]
        120      00140D70 [NONAME]
        121      00140D70 [NONAME]
        122      00140D70 [NONAME]
        123      00140D70 [NONAME]
        346      001AD7C0 [NONAME]
        401      00169DA0 [NONAME]
        402      0016AA90 [NONAME]
        403      0016AAC0 [NONAME]
        410      001ACDA0 [NONAME]
        411      001ACD80 [NONAME]
        413      001AD630 [NONAME]
        420      000C1F50 [NONAME]
        421      000C18B0 [NONAME]
        422      0001C460 [NONAME]
        423      00141E60 [NONAME]

  Summary

        5000 .data
        1000 .didat
       19000 .pdata
      2A7000 .rdata
        2000 .reloc
       20000 .rsrc
      1DF000 .text
       19000 .wpp_sf
