Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    3230AA04 time date stamp
        0.00 version
           8 ordinal base
        2364 number of functions
        2363 number of names

    ordinal hint RVA      name

        418  199 0009FDB0 NtOpenFile
        419  19A 000A1A40 NtOpenIoCompletion
        420  19B 000A1A60 NtOpenJobObject
        421  19C 0009F990 NtOpenKey
        422  19D 000A1A80 NtOpenKeyEx
        423  19E 000A1AA0 NtOpenKeyTransacted
        424  19F 000A1AC0 NtOpenKeyTransactedEx
        425  1A0 000A1AE0 NtOpenKeyedEvent
        426  1A1 000A1B00 NtOpenMutant
        427  1A2 000A1B20 NtOpenObjectAuditAlarm
        428  1A3 000A1B40 NtOpenPartition
        429  1A4 000A1B60 NtOpenPrivateNamespace
        430  1A5 0009FC10 NtOpenProcess
        431  1A6 000A1B80 NtOpenProcessToken
        432  1A7 0009FD50 NtOpenProcessTokenEx
        433  1A8 000A1BA0 NtOpenRegistryTransaction
        434  1A9 000A1BC0 NtOpenResourceManager
        435  1AA 0009FE30 NtOpenSection
        436  1AB 000A1BE0 NtOpenSemaphore
        437  1AC 000A1C00 NtOpenSession
        438  1AD 000A1C20 NtOpenSymbolicLinkObject
        439  1AE 000A1C40 NtOpenThread
        440  1AF 0009FBD0 NtOpenThreadToken
        441  1B0 0009FD30 NtOpenThreadTokenEx
        442  1B1 000A1C60 NtOpenTimer
        443  1B2 000A1C80 NtOpenTransaction
        444  1B3 000A1CA0 NtOpenTransactionManager
        445  1B4 000A1CC0 NtPlugPlayControl
        446  1B5 000A0320 NtPowerInformation
        447  1B6 000A1CE0 NtPrePrepareComplete
        448  1B7 000A1D00 NtPrePrepareEnlistment
        449  1B8 000A1D20 NtPrepareComplete
        450  1B9 000A1D40 NtPrepareEnlistment
        451  1BA 000A1D60 NtPrivilegeCheck
        452  1BB 000A1D80 NtPrivilegeObjectAuditAlarm
        453  1BC 000A1DA0 NtPrivilegedServiceAuditAlarm
        454  1BD 000A1DC0 NtPropagationComplete
        455  1BE 000A1DE0 NtPropagationFailed
        456  1BF 000A0150 NtProtectVirtualMemory
        457  1C0 000A1E00 NtPulseEvent
        458  1C1 0009FEF0 NtQueryAttributesFile
        459  1C2 000A1E20 NtQueryAuxiliaryCounterFrequency
        460  1C3 000A1E40 NtQueryBootEntryOrder
        461  1C4 000A1E60 NtQueryBootOptions
        462  1C5 000A1E80 NtQueryDebugFilterState
        463  1C6 0009F9F0 NtQueryDefaultLocale
        464  1C7 0009FFD0 NtQueryDefaultUILanguage
        465  1C8 0009FDF0 NtQueryDirectoryFile
        466  1C9 000A1EA0 NtQueryDirectoryFileEx
        467  1CA 000A1EC0 NtQueryDirectoryObject
        468  1CB 000A1EE0 NtQueryDriverEntryOrder
